urc_cat,provider_cat,rank,median,p25,p75
Micropolitan (5),"Buprenorphine
Practitioner",15,57.25,41.364999999999995,82.755
Non-core (6),"Buprenorphine
Practitioner",1,26.3,13.0175,41.765
Non-core (6),"Buprenorphine
Practitioner",2,36.825,23.5125,54.2275
Non-core (6),"Buprenorphine
Practitioner",3,43.754999999999995,30.045,62.13250000000001
Non-core (6),"Buprenorphine
Practitioner",4,48.129999999999995,34.5025,67.725
Non-core (6),"Buprenorphine
Practitioner",5,52.445,37.91,72.5575
Non-core (6),"Buprenorphine
Practitioner",6,55.525000000000006,40.8,76.655
Non-core (6),"Buprenorphine
Practitioner",7,58.254999999999995,43.377500000000005,80.0875
Non-core (6),"Buprenorphine
Practitioner",8,61.025000000000006,45.24,83.4025
Non-core (6),"Buprenorphine
Practitioner",9,63.345,47.0775,86.4225
Non-core (6),"Buprenorphine
Practitioner",10,65.345,48.677499999999995,89.49
Non-core (6),"Buprenorphine
Practitioner",11,67.57,50.83,92.175
Non-core (6),"Buprenorphine
Practitioner",12,69.61500000000001,52.5175,95.14500000000001
Non-core (6),"Buprenorphine
Practitioner",13,71.69,54.2475,98.63
Non-core (6),"Buprenorphine
Practitioner",14,73.61,55.85,100.875
Non-core (6),"Buprenorphine
Practitioner",15,75.65,57.44,103.795
Rural (5-6),"Buprenorphine
Practitioner",1,17.58,6.33,31.77
Rural (5-6),"Buprenorphine
Practitioner",2,25.95,12.085,42.45
Rural (5-6),"Buprenorphine
Practitioner",3,32.9,18.575,49.93
Rural (5-6),"Buprenorphine
Practitioner",4,37.89,23.134999999999998,55.985
Rural (5-6),"Buprenorphine
Practitioner",5,41.59,27.02,60.61
Rural (5-6),"Buprenorphine
Practitioner",6,45.09,30.14,64.445
Rural (5-6),"Buprenorphine
Practitioner",7,48.11,33.12,68.01
Rural (5-6),"Buprenorphine
Practitioner",8,50.81,35.29,71.7
Rural (5-6),"Buprenorphine
Practitioner",9,53.38,37.347500000000004,75.24
Rural (5-6),"Buprenorphine
Practitioner",10,55.59,39.09,78.6925
Rural (5-6),"Buprenorphine
Practitioner",11,57.935,41.11,82.14250000000001
Rural (5-6),"Buprenorphine
Practitioner",12,59.894999999999996,42.73,84.945
Rural (5-6),"Buprenorphine
Practitioner",13,62.06,44.575,87.82
Rural (5-6),"Buprenorphine
Practitioner",14,64.25,45.94,90.76
Rural (5-6),"Buprenorphine
Practitioner",15,66.06,47.34,93.7
Urban (1-4),"Buprenorphine
Practitioner",1,4.43,2.59,7.69
Urban (1-4),"Buprenorphine
Practitioner",2,5.78,3.58,9.8
Urban (1-4),"Buprenorphine
Practitioner",3,6.73,4.26,11.34
Urban (1-4),"Buprenorphine
Practitioner",4,7.53,4.81,12.61
Urban (1-4),"Buprenorphine
Practitioner",5,8.22,5.29,13.72
Urban (1-4),"Buprenorphine
Practitioner",6,8.84,5.71,14.76
Urban (1-4),"Buprenorphine
Practitioner",7,9.4,6.11,15.7
Urban (1-4),"Buprenorphine
Practitioner",8,9.96,6.46,16.7075
Urban (1-4),"Buprenorphine
Practitioner",9,10.48,6.82,17.63
Urban (1-4),"Buprenorphine
Practitioner",10,10.98,7.16,18.59
Urban (1-4),"Buprenorphine
Practitioner",11,11.49,7.51,19.48
Urban (1-4),"Buprenorphine
Practitioner",12,11.94,7.83,20.33
Urban (1-4),"Buprenorphine
Practitioner",13,12.38,8.14,21.18
Urban (1-4),"Buprenorphine
Practitioner",14,12.88,8.45,22.15
Urban (1-4),"Buprenorphine
Practitioner",15,13.35,8.75,23.07
Large central metro (1),"Opioid Treatment
Program",1,7.94,4.88,12.66
Large central metro (1),"Opioid Treatment
Program",2,11.73,7.75,17.54
Large central metro (1),"Opioid Treatment
Program",3,14.2,9.58,21.0875
Large central metro (1),"Opioid Treatment
Program",4,16.32,11.1025,24.52
Large central metro (1),"Opioid Treatment
Program",5,18.42,12.59,27.66
Large central metro (1),"Opioid Treatment
Program",6,20.585,13.81,30.847500000000004
Large central metro (1),"Opioid Treatment
Program",7,22.335,14.96,36.79
Large central metro (1),"Opioid Treatment
Program",8,24.6,16.13,42.37
Large central metro (1),"Opioid Treatment
Program",9,26.75,17.3725,46.59
Large central metro (1),"Opioid Treatment
Program",10,29.05,18.55,50.015
Large central metro (1),"Opioid Treatment
Program",11,31.82,19.68,56.5675
Large central metro (1),"Opioid Treatment
Program",12,33.97,20.63,65.5175
Large central metro (1),"Opioid Treatment
Program",13,36.49,21.64,73.81
Large central metro (1),"Opioid Treatment
Program",14,39.7,22.61,84.7675
Large central metro (1),"Opioid Treatment
Program",15,41.095,23.602500000000003,93.75
Large fringe metro (2),"Opioid Treatment
Program",1,13.8,8.62,22.03
Large fringe metro (2),"Opioid Treatment
Program",2,20.24,13.88,30.27
Large fringe metro (2),"Opioid Treatment
Program",3,24.42,17.6,35.3
Large fringe metro (2),"Opioid Treatment
Program",4,28.1,20.35,39.47
Large fringe metro (2),"Opioid Treatment
Program",5,30.86,22.71,43.485
Large fringe metro (2),"Opioid Treatment
Program",6,33.62,24.71,47.185
Large fringe metro (2),"Opioid Treatment
Program",7,36.42,26.65,50.855000000000004
Large fringe metro (2),"Opioid Treatment
Program",8,38.98,28.25,56.965
Large fringe metro (2),"Opioid Treatment
Program",9,41.53,29.7,64.88499999999999
Large fringe metro (2),"Opioid Treatment
Program",10,44.12,31.27,68.195
Large fringe metro (2),"Opioid Treatment
Program",11,46.18,32.72,71.75
Large fringe metro (2),"Opioid Treatment
Program",12,48.82,33.93,76.82499999999999
Large fringe metro (2),"Opioid Treatment
Program",13,50.95,35.24,81.42500000000001
Large fringe metro (2),"Opioid Treatment
Program",14,53.62,36.905,90.525
Large fringe metro (2),"Opioid Treatment
Program",15,55.21,38.415,97.285
Medium metro (3),"Opioid Treatment
Program",1,13.14,7.46,22.68
Medium metro (3),"Opioid Treatment
Program",2,22.23,13.24,39.17
Medium metro (3),"Opioid Treatment
Program",3,34.6,20.12,64.1
Medium metro (3),"Opioid Treatment
Program",4,50.76,30.44,86.68
Medium metro (3),"Opioid Treatment
Program",5,65.47,39.39,99.83500000000001
Medium metro (3),"Opioid Treatment
Program",6,75.11,46.26,114.815
Medium metro (3),"Opioid Treatment
Program",7,83.55,51.45,126.59
Medium metro (3),"Opioid Treatment
Program",8,89.47,55.08,134.485
Medium metro (3),"Opioid Treatment
Program",9,95.09,58.41,142.39
Medium metro (3),"Opioid Treatment
Program",10,99.53,62.364999999999995,148.55
Medium metro (3),"Opioid Treatment
Program",11,104.73,66.76,153.695
Medium metro (3),"Opioid Treatment
Program",12,109.51,70.535,157.35000000000002
Medium metro (3),"Opioid Treatment
Program",13,113.91,73.38,161.44
Medium metro (3),"Opioid Treatment
Program",14,119.42,78.11500000000001,165.92
Medium metro (3),"Opioid Treatment
Program",15,127.97,82.195,178.85500000000002
Small metro (4),"Opioid Treatment
Program",1,19.314999999999998,8.9,39.2275
Small metro (4),"Opioid Treatment
Program",2,56.305,37.11,84.34
Small metro (4),"Opioid Treatment
Program",3,72.99,51.1375,101.4225
Small metro (4),"Opioid Treatment
Program",4,82.62,58.627500000000005,119.3025
Small metro (4),"Opioid Treatment
Program",5,92.545,67.0325,132.25
Small metro (4),"Opioid Treatment
Program",6,99.82,74.4875,140.9375
Small metro (4),"Opioid Treatment
Program",7,107.375,82.2325,147.53000000000003
Small metro (4),"Opioid Treatment
Program",8,112.97,86.75250000000001,154.69
Small metro (4),"Opioid Treatment
Program",9,117.91,91.1,162.42249999999999
Small metro (4),"Opioid Treatment
Program",10,123.19,96.10499999999999,168.0675
Small metro (4),"Opioid Treatment
Program",11,129.485,99.65,176.45499999999998
Small metro (4),"Opioid Treatment
Program",12,134.17,103.7075,180.07250000000002
Small metro (4),"Opioid Treatment
Program",13,138.685,107.1975,185.20999999999998
Small metro (4),"Opioid Treatment
Program",14,142.845,111.05,193.73
Small metro (4),"Opioid Treatment
Program",15,150.7,114.16,206.0125
Micropolitan (5),"Opioid Treatment
Program",1,49.62,30.0775,77.2325
Micropolitan (5),"Opioid Treatment
Program",2,71.8,52.162499999999994,108.3675
Micropolitan (5),"Opioid Treatment
Program",3,83.38,61.587500000000006,125.87
Micropolitan (5),"Opioid Treatment
Program",4,92.94,68.37,135.9025
Micropolitan (5),"Opioid Treatment
Program",5,101.57,74.18,148.375
Micropolitan (5),"Opioid Treatment
Program",6,108.445,79.46,158.88
Micropolitan (5),"Opioid Treatment
Program",7,115.025,84.07249999999999,170.4175
Micropolitan (5),"Opioid Treatment
Program",8,120.71000000000001,89.3125,176.6475
Micropolitan (5),"Opioid Treatment
Program",9,126.1,93.9025,183.5375
Micropolitan (5),"Opioid Treatment
Program",10,131.995,98.16,190.5475
Micropolitan (5),"Opioid Treatment
Program",11,137.215,102.6825,196.67
Micropolitan (5),"Opioid Treatment
Program",12,142.465,106.4225,203.3675
Micropolitan (5),"Opioid Treatment
Program",13,148.95499999999998,110.9825,209.2425
Micropolitan (5),"Opioid Treatment
Program",14,153.695,115.525,215.22500000000002
Micropolitan (5),"Opioid Treatment
Program",15,158.89,120.08749999999999,222.8
Non-core (6),"Opioid Treatment
Program",1,69.13,48.2175,101.8625
Non-core (6),"Opioid Treatment
Program",2,89.19999999999999,66.53,129.7975
Non-core (6),"Opioid Treatment
Program",3,104.41499999999999,79.3075,149.095
Non-core (6),"Opioid Treatment
Program",4,115.75999999999999,87.91499999999999,164.6975
Non-core (6),"Opioid Treatment
Program",5,125.75,95.39750000000001,179.87
Non-core (6),"Opioid Treatment
Program",6,134.765,102.975,190.9925
Non-core (6),"Opioid Treatment
Program",7,142.27,108.1875,200.345
Non-core (6),"Opioid Treatment
Program",8,149.27,114.75500000000001,208.28500000000003
Non-core (6),"Opioid Treatment
Program",9,157.14,119.97749999999999,213.57750000000001
Non-core (6),"Opioid Treatment
Program",10,164.22,125.72749999999999,220.3375
Non-core (6),"Opioid Treatment
Program",11,170.685,130.865,229.0625
Non-core (6),"Opioid Treatment
Program",12,175.915,136.0475,236.39499999999998
Non-core (6),"Opioid Treatment
Program",13,181.565,139.6925,242.64
Non-core (6),"Opioid Treatment
Program",14,187.07,144.3475,248.64749999999998
Non-core (6),"Opioid Treatment
Program",15,193.005,149.7225,255.8725
Rural (5-6),"Opioid Treatment
Program",1,58.735,37.9775,89.1325
Rural (5-6),"Opioid Treatment
Program",2,79.89,57.73,117.24
Rural (5-6),"Opioid Treatment
Program",3,93.17,68.6525,135.23
Rural (5-6),"Opioid Treatment
Program",4,103.66499999999999,76.36,148.82
Rural (5-6),"Opioid Treatment
Program",5,113.25999999999999,83.11,164.12
Rural (5-6),"Opioid Treatment
Program",6,121.03,89.315,175.125
Rural (5-6),"Opioid Treatment
Program",7,128.42,94.0875,185.4175
Rural (5-6),"Opioid Treatment
Program",8,134.945,99.2125,191.60750000000002
Rural (5-6),"Opioid Treatment
Program",9,141.38,104.345,198.83499999999998
Rural (5-6),"Opioid Treatment
Program",10,147.55,109.14,205.905
Rural (5-6),"Opioid Treatment
Program",11,153.075,113.795,212.87
Rural (5-6),"Opioid Treatment
Program",12,157.82999999999998,118.1725,220.32999999999998
Rural (5-6),"Opioid Treatment
Program",13,163.94,122.19,226.21749999999997
Rural (5-6),"Opioid Treatment
Program",14,169.525,126.5125,231.83749999999998
Rural (5-6),"Opioid Treatment
Program",15,175.1,130.505,239.31
Urban (1-4),"Opioid Treatment
Program",1,11.21,6.49,19.27
Urban (1-4),"Opioid Treatment
Program",2,17.84,10.86,31.76
Urban (1-4),"Opioid Treatment
Program",3,22.97,13.93,42.56
Urban (1-4),"Opioid Treatment
Program",4,28.33,16.7,53.64
Urban (1-4),"Opioid Treatment
Program",5,32.9,19.07,64.58250000000001
Urban (1-4),"Opioid Treatment
Program",6,36.88,21.25,72.92
Urban (1-4),"Opioid Treatment
Program",7,41.45,23.15,81.64
Urban (1-4),"Opioid Treatment
Program",8,45.69,25.07,89.5
Urban (1-4),"Opioid Treatment
Program",9,49.47,26.96,97.29
Urban (1-4),"Opioid Treatment
Program",10,52.44,28.87,105.09
Urban (1-4),"Opioid Treatment
Program",11,56.935,31.2,110.23
Urban (1-4),"Opioid Treatment
Program",12,61.82,32.91,116.32
Urban (1-4),"Opioid Treatment
Program",13,66.03,34.65,122.03250000000001
Urban (1-4),"Opioid Treatment
Program",14,72.985,36.81,127.925
Urban (1-4),"Opioid Treatment
Program",15,76.735,38.347500000000004,136.02
